Latitud,Habitaciones,Baños,Superficie_m2,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
40.466373,3,1,74,1,1,1,0,0,0,0,911651,275000
40.426117,1,1,37,0,1,1,0,0,0,0,747577,230000
40.43195,3,3,389,0,0,1,1,0,0,0,1207212,4542000
40.399998,0,1,45,1,1,1,0,1,1,0,164928,145000
40.43645,3,1,77,0,1,1,0,0,1,0,238758,180000
40.42069,2,2,93,0,1,1,0,0,1,0,747577,580000
40.46722,4,2,185,1,1,1,1,0,1,0,911651,585000
40.416866,2,1,80,1,0,0,0,0,1,0,760050,540000
40.416504,3,2,97,1,1,1,0,0,0,0,941621,798000
40.466038,5,5,313,1,1,1,0,0,1,1,471372,1100000
40.410263,4,3,153,1,1,1,0,1,0,0,529747,580000
40.457108,3,2,141,1,1,1,1,0,0,1,911651,815000
40.398552,3,2,86,1,1,1,1,0,1,0,357857,455000
40.38584,1,1,74,0,0,0,0,0,0,0,357857,285000
40.387356,3,2,90,0,1,1,0,1,0,0,202513,266000
40.42316,3,2,161,0,0,0,0,0,0,0,1709528,2300000
40.456455,4,3,489,0,1,1,1,0,1,1,302278,1150000
40.386166,2,1,74,1,0,1,1,0,1,0,197312,399000
40.45137,3,2,116,1,0,1,0,0,1,0,302278,479000
40.398376,3,2,113,1,1,1,0,0,1,0,357857,251000
40.41406,4,2,322,1,0,1,0,0,1,0,856046,2700000
40.468075,4,3,210,1,1,1,0,0,0,0,923762,1150000
40.34336,3,1,58,0,0,1,0,1,0,0,156772,93000
40.474384,3,1,90,1,0,1,0,0,1,0,471372,202000
40.42152,2,1,93,1,0,0,0,0,0,0,747577,494000
40.43745,2,2,220,1,1,1,0,0,1,0,898889,847000
40.42468,3,1,50,0,0,0,0,0,0,0,260568,124900
40.407505,3,2,124,1,1,1,0,1,0,0,440796,595000
40.380558,1,1,46,0,1,1,0,0,0,0,202513,130000
40.432526,3,1,70,0,0,0,0,0,0,0,238758,140800
40.402287,2,1,46,1,0,0,0,0,0,0,421413,139000
40.42611,1,1,35,1,0,1,0,0,0,0,238758,109900
40.42576,1,1,25,0,0,1,0,0,0,0,747577,180000
40.35362,3,1,75,0,0,0,0,0,1,0,156772,139900
40.435932,3,1,132,0,0,1,0,1,0,0,1023319,675000
40.420654,3,2,157,1,0,0,0,0,0,0,760050,955000
40.3858,2,1,50,0,0,0,0,0,0,0,202513,105000
40.34518,3,1,88,0,0,1,0,0,1,0,156772,160000
40.40119,3,1,65,0,1,1,0,0,1,0,260153,150000
40.4278,2,1,69,0,1,1,0,0,0,0,673599,345000
40.413445,1,1,41,1,0,0,0,0,0,0,421413,330000
40.462166,3,3,164,0,0,0,0,0,0,0,923762,1530000
40.401756,2,1,35,0,1,1,0,0,0,0,357857,160000
40.38711,2,1,62,1,0,1,0,0,0,0,226302,140000
40.429123,2,1,40,1,0,1,0,0,0,0,1023319,319000
40.343685,3,1,57,1,1,1,0,0,0,0,156772,120000
40.480534,1,1,70,1,0,1,0,0,0,0,471372,315000
40.480923,3,2,104,1,0,1,0,0,1,0,347317,219000
40.463123,4,2,317,0,0,0,0,0,0,1,911651,1280000
40.399998,0,1,51,1,1,1,0,1,1,0,164928,183000
40.35586,3,2,105,1,1,1,0,0,1,0,212177,237000
40.452263,1,1,40,0,0,1,0,0,0,0,597620,199000
40.4628,4,5,165,0,1,0,0,0,1,0,923762,1840000
40.436794,1,1,49,0,0,0,0,0,0,0,603234,255000
40.454834,3,3,137,0,0,0,0,0,1,0,923762,790000
40.408936,4,1,82,0,0,1,0,0,0,0,440796,310000
40.423847,3,1,75,1,0,1,0,0,1,0,238758,198000
40.37235,2,2,75,0,0,0,1,0,0,1,255165,201400
40.483036,2,1,76,0,0,1,0,0,0,0,733699,199000
40.421234,4,3,174,1,0,1,0,0,1,0,941621,1150000
40.4218,4,4,222,0,0,0,1,0,0,0,941621,1750000
40.43541,3,3,212,1,1,1,1,1,1,1,260568,720000
40.472248,12,10,1200,0,1,1,0,0,1,1,1274253,3500000
40.39834,3,4,181,0,0,0,0,0,0,1,382726,393226
40.476414,3,3,161,1,1,1,0,0,1,0,733699,710000
40.422935,3,2,187,0,1,0,0,0,0,0,747577,1785000
40.44721,1,1,65,1,0,0,0,0,0,0,379788,329000
40.488,4,5,255,0,1,1,0,0,1,1,718994,1595000
40.458263,7,7,573,0,1,0,0,0,1,0,1197915,3200000
40.468235,4,2,100,0,0,0,0,0,0,0,1134196,520000
40.379196,2,1,51,0,0,0,0,0,0,0,166500,123800
40.424656,1,1,39,0,1,0,0,0,1,0,673599,425000
40.443466,3,2,120,1,1,1,0,0,1,0,379788,800000
40.46023,4,3,196,1,1,1,0,0,1,1,1274253,1100000
40.39969,1,1,64,1,1,1,0,0,0,0,382726,239000
40.409405,2,2,80,0,1,1,0,0,1,0,440796,418000
40.438,4,2,104,0,0,1,0,0,1,0,379788,345000
40.38462,3,1,84,0,1,1,0,1,0,0,197312,175000
40.467373,3,2,85,1,0,1,0,0,0,0,911651,360000
40.447716,5,3,251,1,0,1,0,0,1,0,597620,895000
40.431908,2,1,93,1,0,1,0,0,0,0,1023319,600000
40.41615,2,1,44,1,1,1,0,0,0,0,941621,325000
40.39479,3,2,96,0,0,0,1,0,0,0,152717,175000
