Codigo_Postal,Latitud,Longitud,Habitaciones,Baños,Superficie_m2,Piso,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
37,40.439224,-3.6188083,1,2,94,3,1,1,1,1,1,1,0,260568,285000
6,40.42942,-3.6723013,5,2,228,12,1,1,0,0,0,1,0,1207212,1600000
32,40.404324,-3.6053193,3,1,60,8,1,0,1,0,0,1,0,260153,185000
5,40.411316,-3.718794,4,2,112,6,1,0,1,0,0,1,0,421413,415000
31,40.369457,-3.6226919,3,1,105,6,1,0,1,0,0,1,0,234693,180000
27,40.442146,-3.6451516,4,2,203,9,1,1,1,0,0,1,0,379788,850000
31,40.36168,-3.596996,3,2,151,8,1,1,1,1,0,0,0,234693,330000
51,40.36683,-3.6243374,3,2,103,3,1,1,1,0,0,1,1,314346,311000
35,40.477997,-3.7348614,6,4,256,0,0,1,1,0,0,1,0,733699,695000
28,40.427677,-3.6653035,4,3,149,7,1,1,0,0,0,1,0,603234,750000
1,40.422966,-3.6799188,3,3,129,11,1,1,1,1,1,1,0,1709528,1690000
39,40.45074,-3.710629,5,3,231,11,1,1,1,0,0,1,0,302278,930000
21,40.350338,-3.6879554,2,1,68,8,0,1,1,0,0,1,0,156772,134000
17,40.43244,-3.644926,3,1,79,9,0,1,1,0,0,1,0,238758,235000
8,40.420406,-3.7167141,4,2,143,0,1,0,0,0,0,0,0,766309,720000
51,40.36787,-3.612752,1,1,53,13,1,0,0,0,0,0,0,314346,174000
43,40.450825,-3.6618922,2,1,59,12,1,0,0,0,0,0,0,911651,393000
27,40.441093,-3.6413608,4,3,173,6,0,1,1,0,0,1,0,379788,659000
34,40.49401,-3.7139,4,3,173,0,0,0,0,0,0,1,0,718994,915000
45,40.401653,-3.6986341,1,1,31,0,1,0,0,0,0,0,0,357857,179000
28,40.424057,-3.6684644,3,2,128,10,1,1,0,0,0,0,0,603234,795000
20,40.451897,-3.694043,1,1,64,21,1,0,1,0,0,1,0,597620,450000
2,40.444878,-3.6672373,3,1,82,0,1,0,1,1,0,0,0,700100,490000
10,40.4353,-3.700866,3,2,91,9,1,0,1,0,0,0,0,1023319,639000
31,40.381184,-3.634172,2,2,99,0,1,1,1,1,0,1,0,234693,255000
17,40.426453,-3.6575212,3,2,87,7,1,1,0,0,0,0,0,238758,305000
43,40.466373,-3.6304617,3,1,74,7,1,1,1,0,0,0,0,911651,275000
4,40.426117,-3.7026455,1,1,37,9,0,1,1,0,0,0,0,747577,230000
6,40.43195,-3.68229,3,3,389,3,0,0,1,1,0,0,0,1207212,4542000
38,40.399998,-3.6647713,0,1,45,3,1,1,1,0,1,1,0,164928,145000
17,40.43645,-3.6401777,3,1,77,7,0,1,1,0,0,1,0,238758,180000
4,40.42069,-3.699877,2,2,93,10,0,1,1,0,0,1,0,747577,580000
43,40.46722,-3.6541593,4,2,185,9,1,1,1,1,0,1,0,911651,585000
13,40.416866,-3.7058287,2,1,80,8,1,0,0,0,0,1,0,760050,540000
9,40.416504,-3.6734545,3,2,97,10,1,1,1,0,0,0,0,941621,798000
33,40.466038,-3.6628997,5,5,313,6,1,1,1,0,0,1,1,471372,1100000
7,40.410263,-3.6658976,4,3,153,0,1,1,1,0,1,0,0,529747,580000
43,40.457108,-3.6420534,3,2,141,0,1,1,1,1,0,0,1,911651,815000
45,40.398552,-3.6940148,3,2,86,10,1,1,1,1,0,1,0,357857,455000
45,40.38584,-3.6874442,1,1,74,3,0,0,0,0,0,0,0,357857,285000
26,40.387356,-3.7061894,3,2,90,0,0,1,1,0,1,0,0,202513,266000
1,40.42316,-3.690919,3,2,161,8,0,0,0,0,0,0,0,1709528,2300000
39,40.456455,-3.708522,4,3,489,0,0,1,1,1,0,1,1,302278,1150000
25,40.386166,-3.7326403,2,1,74,8,1,0,1,1,0,1,0,197312,399000
39,40.45137,-3.7103171,3,2,116,12,1,0,1,0,0,1,0,302278,479000
45,40.398376,-3.6905317,3,2,113,10,1,1,1,0,0,1,0,357857,251000
14,40.41406,-3.6916933,4,2,322,8,1,0,1,0,0,1,0,856046,2700000
16,40.468075,-3.6775894,4,3,210,0,1,1,1,0,0,0,0,923762,1150000
21,40.34336,-3.7088225,3,1,58,8,0,0,1,0,1,0,0,156772,93000
33,40.474384,-3.6442733,3,1,90,0,1,0,1,0,0,1,0,471372,202000
4,40.42152,-3.7004793,2,1,93,0,1,0,0,0,0,0,0,747577,494000
3,40.43745,-3.7008266,2,2,220,11,1,1,1,0,0,1,0,898889,847000
37,40.42468,-3.623799,3,1,50,6,0,0,0,0,0,0,0,260568,124900
12,40.407505,-3.7009635,3,2,124,7,1,1,1,0,1,0,0,440796,595000
26,40.380558,-3.7052891,1,1,46,3,0,1,1,0,0,0,0,202513,130000
17,40.432526,-3.6378818,3,1,70,10,0,0,0,0,0,0,0,238758,140800
5,40.402287,-3.7021046,2,1,46,3,1,0,0,0,0,0,0,421413,139000
17,40.42611,-3.652475,1,1,35,0,1,0,1,0,0,0,0,238758,109900
4,40.42576,-3.7035546,1,1,25,8,0,0,1,0,0,0,0,747577,180000
21,40.35362,-3.689018,3,1,75,8,0,0,0,0,0,1,0,156772,139900
10,40.435932,-3.6981473,3,1,132,0,0,0,1,0,1,0,0,1023319,675000
13,40.420654,-3.703862,3,2,157,7,1,0,0,0,0,0,0,760050,955000
26,40.3858,-3.7102735,2,1,50,3,0,0,0,0,0,0,0,202513,105000
21,40.34518,-3.7165623,3,1,88,6,0,0,1,0,0,1,0,156772,160000
32,40.40119,-3.605404,3,1,65,9,0,1,1,0,0,1,0,260153,150000
15,40.4278,-3.7066858,2,1,69,3,0,1,1,0,0,0,0,673599,345000
5,40.413445,-3.713431,1,1,41,0,1,0,0,0,0,0,0,421413,330000
16,40.462166,-3.6780655,3,3,164,7,0,0,0,0,0,0,0,923762,1530000
45,40.401756,-3.6985316,2,1,35,9,0,1,1,0,0,0,0,357857,160000
19,40.38711,-3.719417,2,1,62,6,1,0,1,0,0,0,0,226302,140000
10,40.429123,-3.703183,2,1,40,9,1,0,1,0,0,0,0,1023319,319000
21,40.343685,-3.6870365,3,1,57,10,1,1,1,0,0,0,0,156772,120000
